id,acronym,name,color_hex_triplet,graph_id,graph_order,parent_structure_id,structure_id_path
4005,Br,brain,A0A0A0,10,0,,/4005/
4006,GM,gray matter,787878,10,1,4005.0,/4005/4006/
4007,Tel,telencephalon,D988A3,10,2,4006.0,/4005/4006/4007/
4008,Cx,cerebral cortex,EDA65F,10,3,4007.0,/4005/4006/4007/4008/
4009,FL,frontal lobe,E8CD59,10,4,4008.0,/4005/4006/4007/4008/4009/
4053,AOrG,anterior orbital gyrus,E8BF59,10,5,4009.0,/4005/4006/4007/4008/4009/4053/
4054,AOrG,"anterior orbital gyrus, left",E8BF59,10,6,4053.0,/4005/4006/4007/4008/4009/4053/4054/
4055,AOrG,"anterior orbital gyrus, right",E8BF59,10,7,4053.0,/4005/4006/4007/4008/4009/4053/4055/
4078,fro,frontal operculum,E8C159,10,8,4009.0,/4005/4006/4007/4008/4009/4078/
4079,fro,"frontal operculum, left",E8C159,10,9,4078.0,/4005/4006/4007/4008/4009/4078/4079/
4080,fro,"frontal operculum, right",E8C159,10,10,4078.0,/4005/4006/4007/4008/4009/4078/4080/
4888,FP,frontal pole,E8C359,10,11,4009.0,/4005/4006/4007/4008/4009/4888/
4889,FP,"frontal pole, left",E8C359,10,12,4888.0,/4005/4006/4007/4008/4009/4888/4889/
4890,FP-s,"frontal pole, left, superior aspect",E8C359,10,13,4889.0,/4005/4006/4007/4008/4009/4888/4889/4890/
4891,FPi,"frontal pole, left, inferior aspect",E8C359,10,14,4889.0,/4005/4006/4007/4008/4009/4888/4889/4891/
4892,FPm,"frontal pole, left, medial aspect",E8C359,10,15,4889.0,/4005/4006/4007/4008/4009/4888/4889/4892/
4893,FP,"frontal pole, right",E8C359,10,16,4888.0,/4005/4006/4007/4008/4009/4888/4893/
4894,FP-s,"frontal pole, right, superior aspect",E8C359,10,17,4893.0,/4005/4006/4007/4008/4009/4888/4893/4894/
4895,FPi,"frontal pole, right, inferior aspect",E8C359,10,18,4893.0,/4005/4006/4007/4008/4009/4888/4893/4895/
4896,FPm,"frontal pole, right, medial aspect",E8C359,10,19,4893.0,/4005/4006/4007/4008/4009/4888/4893/4896/
4047,GRe,gyrus rectus,E8C459,10,20,4009.0,/4005/4006/4007/4008/4009/4047/
4048,GRe,"gyrus rectus, left",E8C459,10,21,4047.0,/4005/4006/4007/4008/4009/4047/4048/
4049,GRe,"gyrus rectus, right",E8C459,10,22,4047.0,/4005/4006/4007/4008/4009/4047/4049/
4035,IFG,inferior frontal gyrus,E8C659,10,23,4009.0,/4005/4006/4007/4008/4009/4035/
4036,IFG,"inferior frontal gyrus, left",E8C659,10,24,4035.0,/4005/4006/4007/4008/4009/4035/4036/
4037,IFG,"inferior frontal gyrus, right",E8C659,10,25,4035.0,/4005/4006/4007/4008/4009/4035/4037/
4041,opIFG,"inferior frontal gyrus, opercular part",E8C659,10,26,4035.0,/4005/4006/4007/4008/4009/4035/4041/
4042,opIFG,"inferior frontal gyrus, opercular part, left",E8C659,10,27,4041.0,/4005/4006/4007/4008/4009/4035/4041/4042/
4043,opIFG,"inferior frontal gyrus, opercular part, right",E8C659,10,28,4041.0,/4005/4006/4007/4008/4009/4035/4041/4043/
4044,orIFG,"inferior frontal gyrus, orbital part",E8C659,10,29,4035.0,/4005/4006/4007/4008/4009/4035/4044/
4045,orIFG,"inferior frontal gyrus, orbital part, left",E8C659,10,30,4044.0,/4005/4006/4007/4008/4009/4035/4044/4045/
4046,orIFG,"inferior frontal gyrus, orbital part, right",E8C659,10,31,4044.0,/4005/4006/4007/4008/4009/4035/4044/4046/
4038,trIFG,"inferior frontal gyrus, triangular part",E8C659,10,32,4035.0,/4005/4006/4007/4008/4009/4035/4038/
4039,trIFG,"inferior frontal gyrus, triangular part, left",E8C659,10,33,4038.0,/4005/4006/4007/4008/4009/4035/4038/4039/
4040,trIFG,"inferior frontal gyrus, triangular part, right",E8C659,10,34,4038.0,/4005/4006/4007/4008/4009/4035/4038/4040/
4900,IRoG,inferior rostral gyrus,E8C859,10,35,4009.0,/4005/4006/4007/4008/4009/4900/
4901,IRoG,"inferior rostral gyrus, left",E8C859,10,36,4900.0,/4005/4006/4007/4008/4009/4900/4901/
4902,IRoG,"inferior rostral gyrus, right",E8C859,10,37,4900.0,/4005/4006/4007/4008/4009/4900/4902/
4059,LOrG,lateral orbital gyrus,E8CA59,10,38,4009.0,/4005/4006/4007/4008/4009/4059/
4060,LOrG,"lateral orbital gyrus, left",E8CA59,10,39,4059.0,/4005/4006/4007/4008/4009/4059/4060/
4061,LOrG,"lateral orbital gyrus, right",E8CA59,10,40,4059.0,/4005/4006/4007/4008/4009/4059/4061/
4050,MOrG,medial orbital gyrus,E8CB59,10,41,4009.0,/4005/4006/4007/4008/4009/4050/
4051,MOrG,"medial orbital gyrus, left",E8CB59,10,42,4050.0,/4005/4006/4007/4008/4009/4050/4051/
4052,MOrG,"medial orbital gyrus, right",E8CB59,10,43,4050.0,/4005/4006/4007/4008/4009/4050/4052/
4028,MFG,middle frontal gyrus,E8CD59,10,44,4009.0,/4005/4006/4007/4008/4009/4028/
4029,MFG,"middle frontal gyrus, left",E8CD59,10,45,4028.0,/4005/4006/4007/4008/4009/4028/4029/
4030,MFG-s,"middle frontal gyrus, left, superior bank of gyrus",E8CD59,10,46,4029.0,/4005/4006/4007/4008/4009/4028/4029/4030/
4031,MFG-i,"middle frontal gyrus, left, inferior bank of gyrus",E8CD59,10,47,4029.0,/4005/4006/4007/4008/4009/4028/4029/4031/
4032,MFG,"middle frontal gyrus, right",E8CD59,10,48,4028.0,/4005/4006/4007/4008/4009/4028/4032/
4033,MFG-s,"middle frontal gyrus, right, superior bank of gyrus",E8CD59,10,49,4032.0,/4005/4006/4007/4008/4009/4028/4032/4033/
4034,MFG-i,"middle frontal gyrus, right, inferior bank of gyrus",E8CD59,10,50,4032.0,/4005/4006/4007/4008/4009/4028/4032/4034/
265504406,OlfA,olfactory area,E8CE59,10,51,4009.0,/4005/4006/4007/4008/4009/265504406/
265504410,OlfA,"olfactory area, left",E8CE59,10,52,265504406.0,/4005/4006/4007/4008/4009/265504406/265504410/
265504414,OlfA,"olfactory area, right",E8CE59,10,53,265504406.0,/4005/4006/4007/4008/4009/265504406/265504414/
4071,PCLa,"paracentral lobule, anterior part",E8CF59,10,54,4009.0,/4005/4006/4007/4008/4009/4071/
4072,PCLa,"paracentral lobule, anterior part, left",E8CF59,10,55,4071.0,/4005/4006/4007/4008/4009/4071/4072/
4073,PCLa-s,"paracentral lobule, anterior part, left, superior bank of gyrus",E8CF59,10,56,4072.0,/4005/4006/4007/4008/4009/4071/4072/4073/
4074,PCLa-i,"paracentral lobule, anterior part, left, inferior bank of gyrus",E8CF59,10,57,4072.0,/4005/4006/4007/4008/4009/4071/4072/4074/
4075,PCLa,"paracentral lobule, anterior part, right",E8CF59,10,58,4071.0,/4005/4006/4007/4008/4009/4071/4075/
4076,PCLa-s,"paracentral lobule, anterior part, right, superior bank of gyrus",E8CF59,10,59,4075.0,/4005/4006/4007/4008/4009/4071/4075/4076/
4077,PCLa-i,"paracentral lobule, anterior part, right, inferior bank of gyrus",E8CF59,10,60,4075.0,/4005/4006/4007/4008/4009/4071/4075/4077/
4065,PTG,paraterminal gyrus,E8D059,10,61,4009.0,/4005/4006/4007/4008/4009/4065/
4066,PTG,"paraterminal gyrus, left",E8D059,10,62,4065.0,/4005/4006/4007/4008/4009/4065/4066/
4067,PTG,"paraterminal gyrus, right",E8D059,10,63,4065.0,/4005/4006/4007/4008/4009/4065/4067/
4068,PaOG,parolfactory gyri,E8D259,10,64,4009.0,/4005/4006/4007/4008/4009/4068/
4069,PaOG,"parolfactory gyri, left",E8D259,10,65,4068.0,/4005/4006/4007/4008/4009/4068/4069/
4070,PaOG,"parolfactory gyri, right",E8D259,10,66,4068.0,/4005/4006/4007/4008/4009/4068/4070/
4056,POrG,posterior orbital gyrus,E8D459,10,67,4009.0,/4005/4006/4007/4008/4009/4056/
4057,POrG,"posterior orbital gyrus, left",E8D459,10,68,4056.0,/4005/4006/4007/4008/4009/4056/4057/
4058,POrG,"posterior orbital gyrus, right",E8D459,10,69,4056.0,/4005/4006/4007/4008/4009/4056/4058/
4010,PrG,precentral gyrus,E8D659,10,70,4009.0,/4005/4006/4007/4008/4009/4010/
4011,PrG,"precentral gyrus, left",E8D659,10,71,4010.0,/4005/4006/4007/4008/4009/4010/4011/
4012,PrG-prc,"precentral gyrus, left, bank of the precentral sulcus",E8D659,10,72,4011.0,/4005/4006/4007/4008/4009/4010/4011/4012/
4013,PrG-sl,"precentral gyrus, left, superior lateral aspect of gyrus",E8D659,10,73,4011.0,/4005/4006/4007/4008/4009/4010/4011/4013/
